antibody_id,combined_hydrophobic_area,vh_hydrophobic_surface_area,vl_min_cys_spacing,vh_min_cys_spacing,vl_hydrophobic_surface_area,vl_avg_cys_spacing,vh_avg_cys_spacing,vh_turn_formers_count,vh_helix_formers_count,vl_turn_formers_count,vl_charge_separation,vl_flexible_residues_count,vh_surface_polar_count,vh_core_size,vh_hydrophobic_core_count,vh_flexible_residues_count,combined_net_charge,vl_helix_formers_count,vh_charge_separation,vl_surface_polar_count,vh_sheet_formers_count,vl_max_cys_spacing,vl_sheet_formers_count,cdr_total_net_charge,vh_net_charge,vl_sheet_breakers_count,vl_helix_breakers_count,vl_high_curvature_regions,vl_thermal_stability_sum,vh_high_curvature_regions,vh_sheet_breakers_count,vh_helix_breakers_count,vl_hydrophobic_core_count,vl_core_size,vl_net_charge,vh_thermal_stability_sum,vh_vl_charge_balance,vh_negative_charge_count,cdr_negative_charge_total,vh_positive_charge_count,vh_thermal_motif_balance,cdr_heavy_vs_light_charge_gap,vl_estimated_tm_contribution,vh_rigid_residues_count,vl_positive_charge_count,vl_negative_charge_count,cdr_positive_charge_total,vh_estimated_tm_contribution,vh_absolute_charge,vl_absolute_charge,cdr_h3_net_charge,vl_rigid_residues_count,cdr_charge_symmetry_ratio,cdr_l2_hydrophobicity_mean,full_aromatic_stacking_count,vh_thermolabile_GG_count,cdr_h2_net_charge,vh_thermal_motif_ratio,vh_flexibility_ratio,cdr_l1_net_charge,cdr_h3_negative_charge_count,vl_thermal_motif_balance,cdr_l2_net_charge,vl_aa_diversity,cdr_h2_negative_charge_count,vh_vhh_vhh_stable_YY,vh_thermostable_YY_count,cdr_l3_hydrophobicity_mean,cdr_h2_hydrophobicity_mean,vl_flexibility_ratio,vh_vhh_vhh_stable_DY,vh_thermostable_DY_count,cdr_h3_positive_charge_count,vh_max_cys_spacing,cdr_l3_net_charge,cdr_l1_negative_charge_count,cdr_h1_net_charge,cdr_l2_positive_charge_count,vh_max_hydrophobic_patch,cdr_max_hydrophobicity_mean,cdr_h2_positive_charge_count,vl_thermolabile_GG_count,vl_thermal_motif_ratio,cdr_l1_hydrophobicity_mean,cdr_l2_negative_charge_count,cdr_min_hydrophobicity_mean,vh_aa_diversity,HIC_delta_G_ML,PR_CHO,AC-SINS_pH7.4_nmol/mg,Tm2_DSF_degC,Titer_g/L
GDPa1-028,205.1,107.7,65.0,74.0,97.4,65.0,74.0,27.0,33.0,29.0,40.15,35.0,60.0,36.0,36.0,37.0,-2.0,27.0,37.1,52.0,34.0,65.0,31.0,-4.0,-3.5,15.0,15.0,15.0,-7.7,15.0,15.0,15.0,32.0,32.0,1.5,-10.6,5.0,15.0,8.0,12.0,2.0,3.0,81.02803738317758,8.0,10.0,8.0,4.0,80.0,3.5,1.5,-1.0,10.0,0.75,-1.0,3.0,0.0,-3.0,2.0,4.111111111111111,-0.5,2.0,1.0,1.0,19.0,3.0,1.0,1.0,-1.9,-1.1875,3.1818181818181817,0.0,0.0,1.0,74.0,-1.0,1.0,0.5,1.0,2.0,0.1374999999999999,0.0,1.0,1.0,0.1374999999999999,-0.0,-1.9,19.0,,,,,
GDPa1-029,208.5,107.1,65.0,74.0,101.4,65.0,74.0,31.0,34.0,31.0,40.63636363636363,36.0,59.0,35.0,35.0,39.0,8.5,29.0,36.07142857142857,53.0,36.0,65.0,31.0,3.5,3.5,14.0,14.0,14.0,-6.6,14.0,14.0,14.0,31.0,31.0,5.0,-8.200000000000001,1.5,10.0,2.0,14.0,2.0,2.5,78.78504672897196,7.0,11.0,6.0,5.5,78.8135593220339,3.5,5.0,-1.0,7.0,0.7142857142857143,-1.15,3.0,1.0,1.0,1.5,4.875,0.0,2.0,1.0,1.0,18.0,-0.0,2.0,2.0,-1.7666666666666666,-0.1374999999999999,4.5,0.0,0.0,1.0,74.0,2.0,-0.0,0.5,1.0,2.0,0.8,1.0,0.0,1.0,0.8,-0.0,-1.7666666666666666,20.0,2.76,0.463392419,20.125,77.46000000000001,167.77
GDPa1-030,225.1,124.4,68.0,74.0,100.7,68.0,74.0,35.0,31.0,43.0,32.63265306122449,45.0,55.0,42.0,42.0,39.0,0.0,23.0,35.18181818181818,50.0,42.0,68.0,29.0,-4.5,0.5,23.0,23.0,23.0,-14.800000000000002,16.0,16.0,16.0,30.0,30.0,-0.5,-6.700000000000001,1.0,11.0,6.0,12.0,1.0,0.5,77.56756756756756,8.0,7.0,7.0,1.5,81.12903225806451,0.5,0.5,-1.0,9.0,0.1111111111111111,-0.3166666666666666,3.0,1.0,-2.0,1.0,4.333333333333333,-1.0,2.0,1.0,0.0,19.0,2.0,2.0,2.0,-0.6333333333333333,-1.1749999999999998,4.5,0.0,0.0,1.0,74.0,-1.0,1.0,0.5,0.0,4.0,-0.01,0.0,1.0,1.0,-1.1,-0.0,-1.1749999999999998,20.0,4.5,0.231378768,0.125,80.685,320.38
GDPa1-031,219.3,110.4,69.0,74.0,108.9,69.0,74.0,32.0,30.0,34.0,38.125,34.0,53.0,37.0,37.0,40.0,-3.5,31.0,30.857142857142858,53.0,38.0,69.0,30.0,-5.0,2.0,17.0,17.0,17.0,-11.900000000000002,16.0,16.0,16.0,34.0,34.0,-5.5,-7.0,7.5,7.0,5.0,9.0,3.0,3.0,80.990990990991,9.0,8.0,13.0,0.0,80.42735042735043,2.0,5.5,0.0,9.0,0.6,2.466666666666667,4.0,0.0,0.0,3.0,4.0,-3.0,-0.0,0.0,0.0,20.0,-0.0,1.0,1.0,-1.7333333333333334,-0.525,3.4,1.0,1.0,0.0,74.0,-1.0,3.0,-1.0,0.0,3.0,2.466666666666667,0.0,1.0,0.5,-1.025,-0.0,-1.7333333333333334,18.0,3.025,0.141960087,-1.375,85.93,244.68
GDPa1-032,216.9,112.1,67.0,74.0,104.8,67.0,74.0,34.0,31.0,37.0,30.88571428571429,39.0,55.0,36.0,36.0,39.0,8.0,27.0,32.175,53.0,36.0,67.0,30.0,2.0,5.5,19.0,19.0,19.0,-11.7,15.0,15.0,15.0,30.0,30.0,2.5,-8.600000000000003,3.0,8.0,4.0,15.0,0.0,1.0,78.64864864864865,5.0,10.0,7.0,6.0,78.34782608695652,5.5,2.5,0.0,9.0,0.5,-2.9333333333333336,4.0,1.0,1.0,0.75,6.5,0.0,1.0,3.0,0.0,19.0,1.0,2.0,2.0,-1.8111111111111111,-1.6750000000000005,3.9,0.0,0.0,1.0,74.0,0.5,-0.0,0.5,1.0,4.0,-0.01,2.0,0.0,3.0,-0.125,1.0,-2.9333333333333336,20.0,2.58,0.343380136,25.5,,451.1
GDPa1-033,215.2,108.3,65.0,74.0,106.9,65.0,74.0,28.0,32.0,33.0,39.46875,36.0,56.0,36.0,36.0,39.0,5.0,29.0,38.88095238095238,51.0,37.0,65.0,29.0,0.0,5.0,16.0,16.0,16.0,-8.000000000000002,13.0,13.0,13.0,34.0,34.0,0.0,-5.9,5.0,7.0,3.0,12.0,3.0,2.0,81.02803738317758,6.0,8.0,8.0,3.0,78.79310344827586,5.0,0.0,0.0,9.0,2.0,-0.9833333333333334,4.0,0.0,0.0,3.0,5.571428571428571,0.0,1.0,-1.0,0.0,19.0,-0.0,1.0,1.0,-1.6333333333333335,-0.4625,3.6,1.0,1.0,1.0,74.0,-1.0,-0.0,1.0,1.0,2.0,0.05,0.0,1.0,0.3333333333333333,0.05,1.0,-1.6333333333333335,19.0,2.5,0.446018038,14.0,78.91,281.07
GDPa1-034,222.8,113.5,68.0,74.0,109.3,68.0,74.0,30.0,33.0,35.0,35.1,41.0,55.0,37.0,37.0,39.0,4.5,29.0,37.81818181818182,46.0,39.0,68.0,29.0,-0.5,2.0,21.0,21.0,21.0,-9.4,17.0,17.0,17.0,36.0,36.0,2.5,-8.8,0.5,11.0,3.0,13.0,4.0,1.5,81.19266055045871,7.0,8.0,5.0,2.5,79.25619834710744,2.0,2.5,-2.0,10.0,1.5,-0.6666666666666666,4.0,0.0,1.0,4.0,4.875,0.0,2.0,-3.0,0.0,19.0,-0.0,2.0,2.0,-0.3222222222222222,0.0,3.727272727272727,1.0,1.0,0.0,74.0,0.5,-0.0,0.0,0.0,2.0,0.0,1.0,4.0,0.2,-0.1749999999999999,-0.0,-0.8384615384615386,19.0,2.87,0.10650231,14.0,77.17500000000001,363.39
GDPa1-035,227.8,103.9,70.0,74.0,123.9,70.0,74.0,32.0,29.0,36.0,36.48333333333333,35.0,57.0,34.0,34.0,44.0,-3.0,26.0,41.3,53.0,35.0,70.0,36.0,-1.5,-3.5,19.0,19.0,19.0,-10.0,18.0,18.0,18.0,33.0,33.0,0.5,-11.6,4.0,13.0,4.0,10.0,2.0,5.5,80.35714285714286,7.0,12.0,10.0,2.5,77.62711864406779,3.5,0.5,-3.0,9.0,3.6666666666666665,0.5666666666666667,2.0,0.0,-1.0,2.0,5.5,1.0,3.0,1.0,1.0,20.0,1.0,1.0,1.0,0.2,-0.9375,3.5,0.0,0.0,0.0,74.0,0.0,-0.0,0.5,1.0,2.0,0.5666666666666667,0.0,0.0,1.0,-0.4,-0.0,-0.9375,20.0,2.62,,-1.375,82.35499999999999,110.8
GDPa1-036,236.5,123.7,65.0,74.0,112.8,65.0,74.0,30.0,32.0,33.0,36.4375,36.0,57.0,40.0,40.0,38.0,2.0,25.0,43.21296296296296,51.0,37.0,65.0,31.0,-5.0,2.0,15.0,15.0,15.0,-7.000000000000002,13.0,13.0,13.0,33.0,33.0,0.0,-6.300000000000001,2.0,9.0,6.0,12.0,2.0,1.0,79.62264150943398,6.0,8.0,8.0,1.0,80.25641025641025,2.0,0.0,-3.0,7.0,0.2,-0.5,4.0,0.0,0.0,2.0,5.428571428571429,0.0,3.0,2.0,-2.0,18.0,-0.0,1.0,1.0,-0.8444444444444446,0.1499999999999999,4.5,0.0,0.0,0.0,74.0,-1.0,-0.0,1.0,0.0,2.0,1.1,0.0,0.0,2.0,1.1,2.0,-0.9600000000000002,20.0,2.565,0.212187151,-0.875,82.435,203.48
GDPa1-037,232.5,118.9,69.0,74.0,113.6,69.0,74.0,34.0,30.0,35.0,39.55769230769231,37.0,58.0,38.0,38.0,41.0,-4.5,28.0,37.8,53.0,40.0,69.0,32.0,-6.5,1.0,16.0,16.0,16.0,-10.000000000000004,15.0,15.0,15.0,34.0,34.0,-5.5,-8.299999999999999,6.5,10.0,7.0,11.0,0.0,0.5,79.36936936936937,7.0,8.0,13.0,0.5,79.18032786885246,1.0,5.5,-2.0,7.0,0.0769230769230769,2.4,3.0,1.0,0.0,0.75,5.125,-3.0,2.0,0.0,0.0,20.0,-0.0,1.0,1.0,-0.3444444444444444,-0.8625,4.625,1.0,1.0,0.0,74.0,-0.5,3.0,-1.0,0.0,2.0,2.4,0.0,1.0,0.6666666666666666,-1.5375,-0.0,-1.5375,19.0,2.72,,-0.375,86.08,57.13
GDPa1-038,233.7,127.6,65.0,74.0,106.1,65.0,74.0,29.0,34.0,35.0,37.29166666666666,37.0,53.0,40.0,40.0,34.0,5.0,28.0,38.26495726495727,49.0,38.0,65.0,30.0,0.0,4.0,19.0,19.0,19.0,-9.4,14.0,14.0,14.0,31.0,31.0,1.0,-5.1,3.0,9.0,3.0,13.0,2.0,2.0,79.1588785046729,7.0,9.0,8.0,3.0,81.65217391304347,4.0,1.0,-1.0,8.0,2.0,-0.4833333333333334,3.0,1.0,-1.0,1.5,4.25,0.0,2.0,0.0,1.0,17.0,1.0,1.0,1.0,-0.9777777777777776,2.0,4.111111111111111,1.0,1.0,1.0,74.0,0.0,-0.0,1.0,1.0,2.0,2.0,0.0,1.0,0.5,0.325,-0.0,-0.9777777777777776,19.0,2.66,0.378758786,15.0,77.89,352.37
GDPa1-039,230.9,119.1,65.0,74.0,111.8,65.0,74.0,35.0,28.0,30.0,39.285714285714285,38.0,49.0,39.0,39.0,40.0,1.0,23.0,35.208333333333336,50.0,39.0,65.0,33.0,-1.0,1.0,16.0,16.0,16.0,-6.3,17.0,17.0,17.0,34.0,34.0,0.0,-6.5,1.0,8.0,1.0,9.0,1.0,1.0,80.65420560747663,6.0,7.0,7.0,0.0,79.65517241379311,1.0,0.0,-1.0,9.0,1.0,0.8666666666666667,5.0,3.0,0.0,1.0,5.714285714285714,0.0,1.0,0.0,0.0,18.0,-0.0,3.0,3.0,-0.3999999999999999,0.0125,3.8,1.0,1.0,0.0,74.0,0.0,-0.0,0.0,0.0,3.0,0.8666666666666667,0.0,1.0,0.5,0.1749999999999998,-0.0,-0.8384615384615385,19.0,3.1,0.017078399,15.5,,265.64
GDPa1-040,246.5,128.0,66.0,74.0,118.5,66.0,74.0,34.0,32.0,29.0,38.36666666666667,32.0,52.0,40.0,40.0,40.0,-1.0,33.0,43.71111111111111,51.0,38.0,66.0,32.0,-3.0,-1.0,14.0,14.0,14.0,-4.5,18.0,18.0,18.0,36.0,36.0,0.0,-7.800000000000001,1.0,10.0,5.0,9.0,0.0,3.0,81.19266055045871,6.0,10.0,9.0,2.0,79.74789915966386,1.0,0.0,-3.0,7.0,1.0,-1.5166666666666666,3.0,2.0,0.0,0.6666666666666666,5.714285714285714,-1.0,3.0,1.0,0.0,18.0,-0.0,1.0,1.0,-0.5222222222222223,1.925,4.0,0.0,0.0,0.0,74.0,1.0,1.0,0.0,1.0,2.0,1.925,0.0,0.0,1.0,-0.0124999999999999,1.0,-1.5166666666666666,19.0,3.13,0.344063711,0.0,,257.51
GDPa1-041,239.6,128.1,65.0,74.0,111.5,65.0,74.0,37.0,24.0,36.0,38.66666666666666,41.0,50.0,40.0,40.0,43.0,1.5,21.0,33.25555555555555,52.0,41.0,65.0,31.0,-0.5,1.0,16.0,16.0,16.0,-7.2,19.0,19.0,19.0,33.0,33.0,0.5,-8.1,0.5,9.0,2.0,10.0,0.0,1.5,79.1588785046729,6.0,7.0,6.0,1.5,79.40170940170941,1.0,0.5,-1.0,8.0,1.5,0.4333333333333333,4.0,3.0,0.0,0.8,6.142857142857143,0.0,1.0,0.0,0.5,20.0,1.0,1.0,1.0,-1.3666666666666665,-0.7750000000000001,4.555555555555555,1.0,1.0,0.0,74.0,0.0,-0.0,0.0,0.5,3.0,0.7999999999999999,1.0,1.0,0.5,0.7999999999999999,-0.0,-1.3666666666666665,19.0,2.7300000000000004,,1.125,,72.14
GDPa1-042,231.2,122.7,65.0,74.0,108.5,65.0,74.0,33.0,28.0,32.0,41.958333333333336,36.0,47.0,41.0,41.0,38.0,1.0,26.0,35.74444444444445,50.0,42.0,65.0,33.0,-2.0,-1.0,15.0,15.0,15.0,-6.7,18.0,18.0,18.0,32.0,32.0,2.0,-6.1,3.0,10.0,3.0,9.0,2.0,2.0,79.1588785046729,7.0,8.0,6.0,1.0,81.01694915254237,1.0,2.0,0.0,7.0,1.0,0.9166666666666666,2.0,2.0,-1.0,1.3333333333333333,4.75,0.0,1.0,1.0,0.0,19.0,1.0,1.0,1.0,-0.788888888888889,-0.25,4.5,2.0,2.0,1.0,74.0,0.0,-0.0,-1.0,0.0,3.0,0.9166666666666666,0.0,0.0,1.0,-0.175,-0.0,-1.123076923076923,19.0,3.18,0.0,1.625,86.035,313.39
GDPa1-043,241.4,131.7,65.0,74.0,109.7,65.0,74.0,34.0,35.0,30.0,38.425,32.0,54.0,43.0,43.0,40.0,1.0,32.0,41.833333333333336,50.0,37.0,65.0,31.0,-1.0,-1.0,15.0,15.0,15.0,-5.800000000000001,17.0,17.0,17.0,34.0,34.0,2.0,-6.900000000000003,3.0,10.0,4.0,9.0,1.0,5.0,81.77570093457945,7.0,10.0,8.0,3.0,80.89430894308944,1.0,2.0,-2.0,9.0,5.0,-1.45,2.0,2.0,-1.0,1.0,5.0,1.0,2.0,1.0,0.0,18.0,1.0,1.0,1.0,-1.7444444444444445,1.5375,3.2,1.0,1.0,0.0,74.0,1.0,-0.0,0.0,1.0,4.0,1.5375,0.0,0.0,1.0,-0.1375,1.0,-1.7444444444444445,19.0,3.4,,15.5,,69.28
GDPa1-044,234.8,123.7,65.0,73.0,111.1,65.0,73.0,37.0,25.0,38.0,39.17283950617284,41.0,56.0,38.0,38.0,43.0,2.0,24.0,33.351851851851855,56.0,41.0,65.0,31.0,-3.0,2.5,14.0,14.0,14.0,-9.3,15.0,15.0,15.0,31.0,31.0,-0.5,-6.499999999999999,3.0,6.0,4.0,9.0,3.0,2.0,77.85046728971963,8.0,9.0,9.0,1.0,79.5798319327731,2.5,0.5,-2.0,7.0,0.6666666666666666,-0.0166666666666666,4.0,1.0,-1.0,1.6666666666666667,4.777777777777778,0.5,2.0,1.0,-1.0,19.0,1.0,2.0,2.0,-2.3777777777777778,-0.7124999999999999,5.125,2.0,2.0,0.0,73.0,0.0,-0.0,0.5,0.0,3.0,0.05,0.0,0.0,1.0,-0.3875,1.0,-2.3777777777777778,20.0,2.815,,1.125,84.92,78.27
GDPa1-045,236.3,133.2,65.0,74.0,103.1,65.0,74.0,33.0,37.0,33.0,35.36,37.0,58.0,44.0,44.0,40.0,2.0,30.0,44.43076923076923,52.0,43.0,65.0,28.0,2.0,2.5,18.0,18.0,18.0,-12.3,16.0,16.0,16.0,30.0,30.0,-0.5,-5.0,3.0,10.0,4.0,13.0,2.0,3.0,77.5925925925926,8.0,10.0,10.0,6.0,81.07692307692307,2.5,0.5,-0.5,6.0,1.5,-2.966666666666667,5.0,2.0,0.0,1.3333333333333333,4.444444444444445,1.0,2.0,2.0,1.0,19.0,-0.0,3.0,3.0,-1.477777777777778,1.925,5.285714285714286,0.0,0.0,1.5,74.0,0.5,-0.0,0.0,2.0,2.0,1.925,0.0,1.0,1.5,-0.4875,1.0,-2.966666666666667,20.0,3.265,0.303633934,15.5,83.41,417.22
GDPa1-046,242.1,130.9,65.0,73.0,111.2,65.0,73.0,35.0,29.0,36.0,37.333333333333336,40.0,54.0,42.0,42.0,41.0,-1.0,28.0,35.46296296296296,55.0,39.0,65.0,30.0,-3.0,-3.0,15.0,15.0,15.0,-9.400000000000002,15.0,15.0,15.0,33.0,33.0,2.0,-6.600000000000001,5.0,12.0,6.0,9.0,0.0,5.0,78.0,6.0,9.0,7.0,3.0,80.16666666666666,3.0,2.0,-2.0,6.0,1.6666666666666667,0.2333333333333332,3.0,2.0,-2.0,0.75,5.857142857142857,-1.0,3.0,-1.0,1.0,19.0,2.0,2.0,2.0,-1.022222222222222,-0.4875,5.714285714285714,0.0,0.0,1.0,73.0,1.0,1.0,0.0,1.0,3.0,0.2333333333333332,0.0,1.0,0.3333333333333333,-0.9125,-0.0,-1.0230769230769232,19.0,2.685,0.100153602,0.125,85.11,236.56
GDPa1-047,219.8,103.9,70.0,74.0,115.9,70.0,74.0,26.0,33.0,38.0,37.70192307692308,37.0,56.0,35.0,35.0,37.0,5.0,26.0,31.416666666666668,56.0,35.0,70.0,34.0,0.0,1.5,18.0,18.0,18.0,-11.0,13.0,13.0,13.0,31.0,31.0,3.5,-6.9,2.0,10.0,4.0,12.0,3.0,5.0,79.82142857142857,6.0,13.0,8.0,4.0,78.86956521739131,1.5,3.5,0.0,10.0,5.0,0.5666666666666667,3.0,0.0,-1.0,3.0,5.285714285714286,1.5,-0.0,1.0,1.0,20.0,2.0,1.0,1.0,-0.5333333333333333,-1.3125,3.363636363636364,1.0,1.0,0.0,74.0,0.0,-0.0,-1.5,1.0,2.0,0.5666666666666667,1.0,0.0,1.0,-1.0375,-0.0,-1.3125,18.0,2.465,0.35260593,1.625,76.515,296.49
GDPa1-048,190.2,104.9,64.0,74.0,85.3,64.0,74.0,35.0,30.0,34.0,35.89772727272727,38.0,58.0,35.0,35.0,40.0,1.5,27.0,34.52,50.0,37.0,64.0,28.0,0.0,-0.5,17.0,17.0,17.0,-10.9,15.0,15.0,15.0,28.0,28.0,2.0,-10.500000000000002,2.5,10.0,3.0,10.0,4.0,5.0,78.07692307692307,9.0,11.0,8.0,3.0,79.5,0.5,2.0,-1.0,8.0,5.0,-0.1,3.0,0.0,-2.0,4.0,4.0,0.5,1.0,1.0,1.0,20.0,2.0,2.0,2.0,-1.022222222222222,-0.9625,4.222222222222222,1.0,1.0,0.0,74.0,1.0,-0.0,0.5,1.0,2.0,-0.1,0.0,1.0,1.0,-0.5000000000000001,-0.0,-1.022222222222222,20.0,2.51,0.0,1.625,83.63,213.95
GDPa1-049,248.8,119.1,70.0,74.0,129.7,70.0,74.0,37.0,31.0,34.0,35.733333333333334,36.0,57.0,39.0,39.0,42.0,-2.5,24.0,39.14393939393939,52.0,37.0,70.0,37.0,-5.0,-1.0,18.0,18.0,18.0,-8.899999999999999,16.0,16.0,16.0,35.0,35.0,-1.5,-9.200000000000005,0.5,12.0,6.0,11.0,-2.0,1.0,80.35714285714286,6.0,9.0,10.0,1.0,78.92561983471074,1.0,1.5,-4.0,8.0,0.2,1.85,3.0,3.0,1.0,0.4,6.0,-2.0,4.0,0.0,0.0,20.0,-0.0,1.0,1.0,0.5666666666666667,-0.6125,4.0,0.0,0.0,0.0,74.0,0.0,2.0,0.0,0.0,3.0,1.85,1.0,1.0,0.5,-0.6124999999999999,-0.0,-0.8230769230769233,19.0,2.865,,0.125,,139.45
GDPa1-050,229.2,112.6,70.0,74.0,116.6,70.0,74.0,40.0,25.0,37.0,36.42424242424242,37.0,50.0,35.0,35.0,44.0,1.0,24.0,34.03125,54.0,34.0,70.0,36.0,0.0,0.0,18.0,18.0,18.0,-10.0,18.0,18.0,18.0,32.0,32.0,1.0,-10.3,1.0,8.0,1.0,8.0,-1.0,2.0,80.17857142857142,5.0,11.0,9.0,1.0,77.32142857142857,0.0,1.0,-1.0,10.0,2.0,0.5666666666666667,3.0,3.0,0.0,0.6666666666666666,7.333333333333333,0.0,1.0,0.0,1.0,20.0,-0.0,2.0,2.0,-0.2333333333333332,-0.7,3.363636363636364,1.0,1.0,0.0,74.0,0.0,-0.0,0.0,1.0,3.0,0.5666666666666667,0.0,0.0,0.5,-0.2875,-0.0,-0.7,19.0,2.89,,18.125,84.71,151.23
GDPa1-051,214.6,113.7,69.0,74.0,100.9,69.0,74.0,32.0,33.0,36.0,40.07070707070707,39.0,56.0,37.0,37.0,38.0,-1.5,27.0,36.362637362637365,57.0,40.0,69.0,30.0,-7.5,1.0,16.0,16.0,16.0,-12.9,17.0,17.0,17.0,30.0,30.0,-2.5,-10.500000000000002,3.5,13.0,9.0,14.0,3.0,0.5,77.56756756756758,7.0,9.0,11.0,1.5,79.34426229508196,1.0,2.5,-2.0,7.0,0.0666666666666666,2.4,2.0,0.0,-1.0,3.0,4.75,-1.5,3.0,1.0,0.0,20.0,1.0,1.0,1.0,-1.7333333333333334,0.125,4.875,1.0,1.0,1.0,74.0,-2.0,2.0,-1.0,0.0,2.0,2.4,0.0,1.0,1.0,-1.5,-0.0,-1.7333333333333334,19.0,2.4450000000000003,0.057784628,-0.375,,303.51
GDPa1-052,251.3,128.3,68.0,74.0,123.0,68.0,74.0,39.0,28.0,34.0,31.83333333333333,41.0,55.0,40.0,40.0,43.0,-4.0,25.0,34.70909090909091,50.0,40.0,68.0,31.0,-3.5,-1.5,19.0,19.0,19.0,-8.8,17.0,17.0,17.0,36.0,36.0,-2.5,-8.900000000000004,1.0,11.0,4.0,10.0,0.0,1.5,80.0,6.0,6.0,8.0,0.5,79.01639344262294,1.5,2.5,-1.5,8.0,0.4285714285714285,-0.8666666666666667,4.0,3.0,-1.0,0.8,6.142857142857143,-1.0,2.0,-3.0,0.0,19.0,1.0,3.0,3.0,1.3666666666666665,-1.025,4.555555555555555,0.0,0.0,0.5,74.0,0.0,1.0,0.0,0.0,3.0,1.3666666666666665,0.0,2.0,0.0,-0.3375,-0.0,-1.025,20.0,2.59,0.0,-0.875,81.7,164.3
GDPa1-053,231.6,121.2,70.0,74.0,110.4,70.0,74.0,34.0,31.0,36.0,43.22222222222222,43.0,47.0,39.0,39.0,38.0,8.0,25.0,37.05194805194805,60.0,38.0,70.0,32.0,1.0,3.5,15.0,15.0,15.0,-8.8,18.0,18.0,18.0,32.0,32.0,4.5,-6.5,1.0,7.0,1.0,11.0,-1.0,2.0,78.03571428571428,7.0,12.0,6.0,2.0,80.70175438596492,3.5,4.5,-1.0,8.0,2.0,1.0333333333333332,4.0,3.0,0.0,0.6,4.75,0.5,1.0,-1.0,1.0,20.0,-0.0,2.0,2.0,-0.0666666666666667,0.4874999999999999,4.777777777777778,0.0,0.0,0.0,74.0,0.0,-0.0,0.5,1.0,3.0,1.0333333333333332,0.0,0.0,0.0,-0.525,-0.0,-0.525,20.0,2.48,,0.0,76.42,34.26
GDPa1-054,207.0,106.1,64.0,74.0,100.9,64.0,74.0,31.0,33.0,32.0,40.0,39.0,56.0,34.0,34.0,39.0,4.5,25.0,37.15,54.0,35.0,64.0,30.0,2.0,1.5,14.0,14.0,14.0,-7.5,15.0,15.0,15.0,30.0,30.0,3.0,-9.1,1.5,10.0,1.0,12.0,2.0,1.0,77.9245283018868,6.0,10.0,6.0,3.0,78.10344827586206,1.5,3.0,-1.0,7.0,0.5,-0.0333333333333333,2.0,1.0,0.0,1.5,5.571428571428571,0.5,1.0,1.0,0.0,20.0,-0.0,1.0,1.0,-0.7222222222222223,-0.5625,4.875,1.0,1.0,0.0,74.0,1.0,-0.0,1.5,0.0,2.0,-0.0333333333333333,0.0,0.0,1.0,-0.1750000000000001,-0.0,-0.82,20.0,2.58,0.124340188,-0.375,77.715,261.98
GDPa1-055,240.0,118.9,70.0,74.0,121.1,70.0,74.0,35.0,24.0,37.0,36.76136363636363,36.0,54.0,35.0,35.0,41.0,5.0,25.0,33.09090909090909,52.0,40.0,70.0,37.0,0.5,3.0,19.0,19.0,19.0,-9.8,17.0,17.0,17.0,33.0,33.0,2.0,-7.4,1.0,8.0,2.0,11.0,2.0,2.5,80.71428571428571,9.0,11.0,8.0,2.5,79.57264957264957,3.0,2.0,0.0,10.0,2.5,0.5666666666666667,3.0,1.0,-1.0,1.5,4.1,0.5,1.0,0.0,1.0,20.0,1.0,1.0,1.0,0.2,-0.875,3.272727272727273,1.0,1.0,1.0,74.0,0.0,-0.0,0.0,1.0,3.0,0.5666666666666667,0.0,0.0,0.5,-0.4375000000000001,-0.0,-0.875,18.0,2.7300000000000004,0.361068007,3.125,82.61,464.78
GDPa1-056,246.0,140.1,65.0,74.0,105.9,65.0,74.0,38.0,28.0,33.0,38.125,34.0,51.0,45.0,45.0,42.0,1.0,31.0,36.54,51.0,42.0,65.0,29.0,-1.0,0.0,16.0,16.0,16.0,-7.7,19.0,19.0,19.0,33.0,33.0,1.0,-6.6,1.0,10.0,4.0,10.0,-1.0,3.0,81.58878504672897,7.0,9.0,8.0,3.0,81.31147540983606,0.0,1.0,-2.0,10.0,3.0,-1.45,4.0,3.0,0.0,0.6,5.25,0.0,3.0,1.0,0.0,18.0,-0.0,1.0,1.0,-2.288888888888889,0.0749999999999999,3.090909090909091,1.0,1.0,1.0,74.0,1.0,-0.0,0.0,1.0,3.0,0.59,0.0,0.0,1.0,0.325,1.0,-2.288888888888889,19.0,2.67,0.0,0.625,85.065,228.75
GDPa1-057,230.7,125.6,66.0,74.0,105.1,66.0,74.0,40.0,26.0,33.0,38.395833333333336,35.0,53.0,41.0,41.0,46.0,4.0,32.0,35.98765432098765,51.0,39.0,66.0,29.0,2.0,0.0,19.0,19.0,19.0,-9.6,20.0,20.0,20.0,31.0,31.0,4.0,-9.400000000000002,4.0,9.0,2.0,9.0,-1.0,6.0,79.44444444444444,8.0,12.0,8.0,4.0,79.8360655737705,0.0,4.0,-2.0,8.0,3.0,-1.0,4.0,3.0,0.0,0.6,5.111111111111111,2.0,2.0,0.0,1.0,17.0,-0.0,2.0,2.0,-1.5444444444444445,0.0374999999999999,3.888888888888889,0.0,0.0,0.0,74.0,1.0,-0.0,0.0,1.0,3.0,0.45,0.0,0.0,0.0,-0.875,-0.0,-1.5444444444444445,19.0,2.43,0.0,11.0,,259.84
